Model,CPU,CPU specifications,GPU,Storage capacity,Removable storage,RAM,OS,Custom launcher,Dimensions,Weight in g,Battery,Recharge power,Display,Camera,Fingerprint sensor,Facial recognition
Motorola Razr (2020),Snapdragon 710,Octa-core2.2Â GHz (2x2.2 GHz Kryo 360 Gold + 6x1.7 GHz Kryo 360 Silver),AdreNaN 616,128 GB,NaN,6 GB,Android 9.0,,Unfolded: 172 x 72 x 6.9 mm Folded: 94 x 72 x 14 mm,205,2510 mAh,USB-C 15W,"6.2"" 2142x876 P-OLED 2.7"" 800x600 G-OLED (cover)",16 MP (rear camera) 5 MP (front camera),Front-mounted,-
Xiaomi Mi MIX Alpha,Snapdragon 855+,Octa-core2.96Â GHz (1x2.96Â GHz + 3x 2.42Â GHz + 4x 1.8Â GHz Kryo 485),AdreNaN 640,512 GB,NaN,12 GB,Android 10,MIUI 11,154.4 x 72.3 x 10.4Â mm,241,4050 mAh,USB-C 40W,"7.9"" 2250x2088 AMOLED",Triple 108 MP + 20 MP + 12 MP,Under display,-
Huawei Mate X,HiSilicon Kirin 980,Octa-core2.6Â GHz (2x2.6Â GHz Cortex-A76 + 2x1.92Â GHz Cortex-A76 + 4x1.8Â GHz Cortex-A55),Mali-G76 MP10,512 GB,up to 256 GB,8 GB,Android 9.0,EMUI 9.1,Unfolded: 161.3 x 146.2 x 5.4Â mm Folded: 161.3 x 78.3 x 11Â mm,295,4500 mAh,USB-C 55W,"8.0"" 2480x2200 AMOLED 6.6"" 2480x1148 AMOLED (cover)",Quad 40 MP + 16 MP + 8 MP + ToF,Side-mounted,-
Huawei P30,HiSilicon Kirin 980,Octa-core2.6Â GHz (2x2.6Â GHz Cortex-A76 + 2x1.92Â GHz Cortex-A76 + 4x1.8Â GHz Cortex-A55),Mali-G76 MP10,64/128/256 GB,up to 256 GB,6/8 GB,Android 9.0,EMUI 9.1,149.1 x 71.4 x 7.6Â mm,165,3650 mAh,USB-C 22.5W,"6.1"" 2340x1080 OLED",Triple 40 MP + 16 MP + 8 MP (rear camera) 32 MP (front camera),Under screen,Yes
Huawei P30 Pro,HiSilicon Kirin 980,Octa-core2.6Â GHz (2x2.6Â GHz Cortex-A76 + 2x1.92Â GHz Cortex-A76 + 4x1.8Â GHz Cortex-A55),Mali-G76 MP10,128/256/512 GB,up to 256 GB,6/8 GB,Android 9.0,EMUI 9.1,158 x 73.4 x 8.4Â mm,192,4200 mAh,USB-C 40W Wireless 15W,"6.5"" 2340x1080 OLED",Quad 40 MP + 20 MP + 8 MP + ToF (rear camera) 32 MP (front camera),Under screen,Yes
Huawei Mate 20 X 5G,HiSilicon Kirin 980,Octa-core2.6Â GHz (2x2.6Â GHz Cortex-A76 + 2x1.92Â GHz Cortex-A76 + 4x1.8Â GHz Cortex-A55),Mali-G76 MP10,128 GB,up to 256 GB,6 GB,Android 9.0,EMUI 9,174.6 x 85.4 x 8.2Â mm,232,4200 mAh,USB-C 40W,"7.2"" 2244x1080 OLED",Triple 40 MP + 20 MP + 8 MP (rear camera) 24 MP (front camera),Rear-mounted,Yes
Huawei Mate 30,HiSilicon Kirin 990,Octa-core2.86Â GHz (2x2.86Â GHz Cortex-A76 + 2x2.09Â GHz or 2x2.36Â GHz (5G) Cortex-A76 + 4x1.86Â GHz or 2x1.95Â GHz (5G) Cortex-A55),Mali-G76 MP16,128 GB,up to 256 GB,6/8 GB,Android 10,EMUI 10,160.8 x 76.1 x 8.4Â mm,196,4200 mAh,USB-C 40WWireless 27W,"6.6"" 2340x1080 OLED",Triple 40 MP + 16 MP + 8 MP (rear camera) 24 MP (front camera),Under screen,Yes
Huawei Mate 30 Pro,HiSilicon Kirin 990,Octa-core2.86Â GHz (2x2.86Â GHz Cortex-A76 + 2x2.09Â GHz or 2x2.36Â GHz (5G) Cortex-A76 + 4x1.86Â GHz or 2x1.95Â GHz (5G) Cortex-A55),Mali-G76 MP16,128 or 256 GB,up to 256 GB,8 GB,Android 10,EMUI 10,158.1 x 73.1 x 8.8Â mm,198,4500 mAh,USB-C 40WWireless 27W,"6.5"" 2400x1176 OLED",Quad 2x 40 MP + 8 MP + ToF (rear camera) 32 MP + ToF (front camera),Under screen,Yes
Huawei NaNva 5i,HiSilicon Kirin 710,Octa-core 2.2Â GHz (4x 2.2Â GHz Cortex-A73 + 4x 1.7Â GHz Cortex-A53),Mali-G51 MP4,128 GB,microSD up to 512 GB,6/8 GB,Android 9.0,EMUI 9.1,159.1 x 75.9 x 8.3Â mm,178,4000 mAh,USB-C 10W,"6.4"" 2310x1080 IPS LCD",Quad 24 MP + 8 MP + 2x 2 MP (rear camera) 24 MP (front camera),Rear-mounted,Yes
Huawei NaNva 5,HiSilicon Kirin 810,Octa-core 2.7Â GHz (2x 2.7Â GHz Cortex-A76 + 6x 1.9Â GHz Cortex-A55),Mali-G52 MP6,128 GB,up to 256 GB,8 GB,Android 9.0,EMUI 9.1,157.4 x 74.8 x 7.3Â mm,171,3500 mAh,USB-C 40W,"6.4"" 2340x1080 OLED",Quad 48 MP + 8 MP + 2x 2 MP (rear camera) 32 MP (front camera),Under screen,Yes
